title,description,department
Gift card not accepted at third party store [TKT-5580],Customer purchased a gift card to use at a partner store but the store's system is rejecting the card code as invalid when the cashier enters it.,Customer Support
Software vulnerability patch urgency [TKT-5155],A critical security vulnerability has been identified in a widely used software package. IT needs management approval to apply emergency patches during business hours.,IT Support
Workstation imaging and reimaging request [TKT-5329],An employee's workstation has become unstable after multiple software issues. IT needs to reimage the device and restore data from the last backup.,IT Support
Re-engagement of boomerang employee [TKT-5430],A former employee who left 18 months ago has applied for a position and has been recommended for rehire. HR needs to process their re-onboarding paperwork.,HR
Employee survey design and distribution [TKT-5351],HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Corporate Wi-Fi not connecting on new device [TKT-5123],A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
Apprenticeship program enrollment [TKT-5564],Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Subscription software cost capitalization query [TKT-5278],IT purchased a new cloud-based software subscription. Finance needs to determine whether the annual cost should be expensed or capitalized as an intangible asset.,Finance
Mobile device remotely wiped incorrectly [TKT-5228],An employee's company phone was remotely wiped by IT due to a mistaken identity during a theft response. Device is now blank and data is lost.,IT Support
Custom order specifications not followed [TKT-5518],Customer placed a custom product order with specific dimensions and color but the delivered item does not match the confirmed order specifications.,Customer Support
Production line downtime report [TKT-5529],Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Invoice processing automation failing [TKT-5095],An automated workflow that processes and routes vendor invoices for approval has stopped functioning. Invoices are piling up and vendor payments are at risk.,IT Support
Laptop battery draining too fast [TKT-5442],Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Outdated OS on employee workstation [TKT-5297],Security scan identified a workstation still running Windows 10 without the latest security patches. OS upgrade needs to be scheduled with the employee.,IT Support
Multi-factor authentication app switch [TKT-5336],IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Print server migration planning [TKT-5077],IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Company social event planning,"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Safety incident near miss report [TKT-5090],A near-miss safety incident occurred in the warehouse when a stack of goods nearly fell on a worker. Formal incident report and safety review required.,Operations
Incorrect depreciation method applied [TKT-5294],Asset depreciation was calculated using the straight-line method for an asset that should have been depreciated using the written-down value method.,Finance
Corporate Wi-Fi not connecting on new device [TKT-5403],A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
IT helpdesk portal not loading [TKT-5610],Employees are unable to access the IT helpdesk portal to submit tickets. The page times out. This means all tickets are being raised through email.,IT Support
Salary processing delayed this month [TKT-5452],"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Asset impairment review required [TKT-5341],One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Interbank transfer confirmation delayed [TKT-5220],An interbank transfer made three days ago has not yet been credited to the beneficiary account. Bank is investigating but update is needed urgently.,Finance
Graduate trainee program assessment [TKT-5120],The 12-month graduate trainee program is coming to an end and HR needs to coordinate the final assessments and conversion offers for the successful trainees.,HR
IT infrastructure upgrade business case [TKT-5273],CTO has submitted a business case for a complete network infrastructure overhaul. Management review of the INR 45 lakh capital investment proposal is requested.,Manager
Sabbatical leave request [TKT-5526],A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Customer charged after free trial [TKT-5092],Customer signed up for a free trial and claims they cancelled before the trial ended but was still charged for the first month of the paid plan.,Customer Support
Support ticket closed without resolution [TKT-5315],Customer's support ticket was marked as resolved and closed by the agent but the underlying issue was never actually fixed. Reopening request filed.,Customer Support
End-of-year leave planning communication [TKT-5386],HR needs to send guidance to all employees about the process for planning and submitting year-end leave requests before the holiday period begins.,HR
Software vulnerability patch urgency [TKT-5355],A critical security vulnerability has been identified in a widely used software package. IT needs management approval to apply emergency patches during business hours.,IT Support
Unable to download purchase history [TKT-5391],Customer is trying to download their complete purchase history as a PDF for tax purposes but the download button is not functioning.,Customer Support
Skill gap analysis for department [TKT-5177],HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Counterfeit product suspected [TKT-5387],Customer suspects the branded product they received is counterfeit based on poor print quality on the packaging and slight differences in product appearance.,Customer Support
New hire pre-employment health check [TKT-5104],Two new employees joining next month need pre-employment medical examinations as required for their specific roles. Appointments need to be scheduled.,HR
Regional office closure decision [TKT-5307],Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Employee survey design and distribution [TKT-5191],HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Change management support request [TKT-5648],A major process change is being implemented in the department. Manager is requesting HR and senior leadership support for the change management communication.,Manager
Emergency response plan activation [TKT-5557],A potential flooding risk has been identified at the main office location. Emergency response plan needs to be activated and employees need to be briefed.,Manager
Regulatory filing deadline extension request [TKT-5592],"Due to extraordinary circumstances, the company needs to request a filing extension from the regulator. Management authorization for the extension request is needed.",Manager
Overdraft fee charged on company account [TKT-5605],Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
System admin access request for audit [TKT-5627],External auditors need temporary read-only access to specific system administration functions for their IT audit next week. Request requires management approval.,IT Support
Shift schedule not published on time [TKT-5483],"Operations employees are complaining that the next month's shift schedule has not been published with adequate notice, causing personal planning difficulties.",HR
Overdraft fee charged on company account [TKT-5525],Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
Gift card not accepted at third party store [TKT-5140],Customer purchased a gift card to use at a partner store but the store's system is rejecting the card code as invalid when the cashier enters it.,Customer Support
Logistics software system error [TKT-5377],The logistics management software is displaying incorrect vehicle tracking information. Dispatch team is unable to monitor delivery status in real time.,Operations
Inventory barcode scanner not reading [TKT-5481],The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
Partial order delivered [TKT-5602],Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Intranet page returning error 500 [TKT-5580],"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Investment policy compliance check,CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Approval for conference sponsorship,"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Production planning data not updated [TKT-5663],The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Sabbatical leave request [TKT-5646],A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Order queue position not updating [TKT-5656],Customer placed a pre-order and was given a queue position but the estimated dispatch date has passed and the queue position has not moved.,Customer Support
Customer escalation requiring executive involvement [TKT-5489],A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Support ticket closed without resolution [TKT-5595],Customer's support ticket was marked as resolved and closed by the agent but the underlying issue was never actually fixed. Reopening request filed.,Customer Support
Salary processing delayed this month [TKT-5372],"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Statutory payment confirmation needed [TKT-5287],Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Procurement system access for new manager [TKT-5461],A newly promoted manager needs access to the procurement system to approve purchase orders. Current role does not include this permission level.,IT Support
Approval for external legal counsel [TKT-5183],An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Partial order delivered [TKT-5162],Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Dispatch schedule not coordinated with production [TKT-5206],Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
API access token expired [TKT-5251],A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
Escalation of repeated billing errors to client,A client has been billed incorrectly for the third consecutive month despite corrections being made. Manager requesting executive involvement to resolve and retain the client.,Manager
Fleet maintenance record incomplete [TKT-5078],Annual review of the vehicle fleet maintenance records found that 4 vehicles do not have complete service history documentation as required by policy.,Operations
New hire pre-employment health check [TKT-5224],Two new employees joining next month need pre-employment medical examinations as required for their specific roles. Appointments need to be scheduled.,HR
Attrition rate increase investigation [TKT-5541],Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Freight cost allocation query [TKT-5552],Operations and Finance disagree on how to allocate inbound freight costs across different product categories for inventory valuation purposes.,Finance
Approval for conference sponsorship [TKT-5372],"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Customs clearance delay for imported goods [TKT-5124],A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Order queue position not updating [TKT-5496],Customer placed a pre-order and was given a queue position but the estimated dispatch date has passed and the queue position has not moved.,Customer Support
Company social event planning [TKT-5300],"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Supplier quality audit scheduling,Quarterly quality audit of the top 3 suppliers is due. Operations needs to coordinate schedules and prepare audit checklists before the visits.,Operations
Asset impairment review required [TKT-5621],One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Approval for AI tool procurement [TKT-5239],Technology team has evaluated three AI-powered productivity tools and recommends one for company-wide adoption. Requesting management approval for the purchase.,Manager
Time tracking system not recording correctly [TKT-5504],Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Return received but refund not initiated [TKT-5543],Customer returned an item and the tracking confirms it was delivered to the warehouse 12 days ago but no refund has been initiated yet.,Customer Support
IP address conflict on network [TKT-5338],Two devices on the local network have been assigned the same static IP address causing intermittent connectivity loss for both. DHCP configuration review needed.,IT Support
App shows different price than website [TKT-5458],The same product is showing a higher price on the mobile app compared to the desktop website. Customer wants to know which price is correct.,Customer Support
Payroll reconciliation variance [TKT-5625],"Monthly payroll reconciliation between the HR payroll system and the accounting general ledger shows a variance of INR 6,800 that cannot be explained.",Finance
Software vulnerability patch urgency [TKT-5275],A critical security vulnerability has been identified in a widely used software package. IT needs management approval to apply emergency patches during business hours.,IT Support
Wrong seller shipped the product [TKT-5472],Customer ordered from a preferred seller on the marketplace but a different seller fulfilled the order and the product quality is noticeably different.,Customer Support
Customer escalation requiring executive involvement [TKT-5089],A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Cross-platform file compatibility issue [TKT-5280],A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Customer feedback response strategy [TKT-5296],"Following a batch of negative customer reviews, management review of the feedback and approval of a formal response and improvement strategy is needed.",Manager
Loyalty tier downgraded incorrectly [TKT-5319],Customer was downgraded from Gold to Silver membership tier even though they did not fall below the spending threshold required to maintain Gold status.,Customer Support
Headcount report for board meeting,"CFO has requested an up-to-date headcount report by department, role level and location for the upcoming board meeting presentation.",HR
Diversity recruitment target progress [TKT-5116],HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Employee not enrolled in payroll system [TKT-5169],New employee who joined 6 weeks ago was never enrolled in the payroll system and has not received any salary payment for the past month.,Finance
Accounts receivable write-off approval needed [TKT-5250],"Finance is requesting management approval to write off three old receivables totaling INR 1,85,000 that have been outstanding for more than 24 months.",Finance
Bulk order pricing not applied [TKT-5637],Customer placed an order for 50 units expecting bulk pricing as advertised on the website but was charged the standard per-unit price.,Customer Support
Large file transfer solution needed [TKT-5265],An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
System admin access request for audit,External auditors need temporary read-only access to specific system administration functions for their IT audit next week. Request requires management approval.,IT Support
Complaint about management communication style [TKT-5200],Multiple employees have formally raised concerns about a senior manager's aggressive communication style. HR and senior management review is required.,Manager
Customs clearance delay for imported goods [TKT-5284],A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Raw material substitution approval [TKT-5092],Primary raw material is out of stock and a substitute material is available. Production needs operations and quality team approval before using the substitute.,Operations
Export documentation preparation [TKT-5312],"An international shipment is being prepared and operations needs to compile all export documentation including commercial invoice, packing list and certificate of origin.",Operations
Third-party audit finding response plan [TKT-5366],External audit identified control gaps in the department's processes. Manager is requesting time to present the corrective action plan to senior leadership.,Manager
Chatbot transferred to wrong department [TKT-5617],"When contacting support through the website chatbot, customer was transferred to the technical team for a billing issue which caused additional wait time.",Customer Support
Employee assistance program awareness [TKT-5571],HR wants to send a communication to all employees about the available employee assistance program services including counseling and financial advice.,HR
Subscription billing date changed without notice [TKT-5266],Customer's billing date shifted from the 5th to the 18th of the month without any communication. This has caused budgeting inconvenience.,Customer Support
Reward points expired without notice [TKT-5086],Customer's accumulated reward points expired without any prior email or in-app notification. Points had been saved for over 6 months.,Customer Support
Incorrect depreciation method applied [TKT-5374],Asset depreciation was calculated using the straight-line method for an asset that should have been depreciated using the written-down value method.,Finance
Shift schedule not published on time [TKT-5443],"Operations employees are complaining that the next month's shift schedule has not been published with adequate notice, causing personal planning difficulties.",HR
Internal loan between subsidiaries [TKT-5519],Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Procurement system access for new manager [TKT-5501],A newly promoted manager needs access to the procurement system to approve purchase orders. Current role does not include this permission level.,IT Support
Rebate from vendor not accounted for [TKT-5653],"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Subscription not reflecting after payment [TKT-5609],Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Approval for overtime during critical period [TKT-5058],"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Unannounced customer plant visit [TKT-5113],A major customer has requested an unannounced plant visit in 48 hours to conduct their own audit. Operations needs to prepare for the visit on short notice.,Operations
Maintenance schedule conflict with production [TKT-5534],Planned maintenance on a key machine conflicts with a production run scheduled for the same day. Rescheduling of either activity is needed.,Operations
Data governance policy implementation [TKT-5534],IT and legal have finalized a new data governance policy. Manager requesting a cross-functional meeting to align on implementation responsibilities.,Manager
Intranet page returning error 500 [TKT-5420],"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Customer feedback response strategy [TKT-5536],"Following a batch of negative customer reviews, management review of the feedback and approval of a formal response and improvement strategy is needed.",Manager
Investment policy compliance check [TKT-5306],CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Employee expense claim currency conversion query [TKT-5342],Employee who incurred expenses in USD during an overseas trip needs clarification on which exchange rate to use when converting to INR for the claim.,Finance
Large file transfer solution needed [TKT-5505],An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Teams meeting recording not available [TKT-5324],A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Complaint about product environmental impact [TKT-5396],Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Loading dock slip and fall hazard [TKT-5264],Water from an overnight rain has pooled on the loading dock floor. An employee slipped this morning. Immediate hazard remediation is required.,Operations
Data governance policy implementation [TKT-5174],IT and legal have finalized a new data governance policy. Manager requesting a cross-functional meeting to align on implementation responsibilities.,Manager
Unable to update payment method [TKT-5127],Customer is trying to add a new credit card to their account but the payment section keeps showing a loading spinner without saving the card.,Customer Support
Excessive product packaging complaint [TKT-5626],A customer audit team flagged that the product packaging uses significantly more material than necessary. Operations review of packaging standards is needed.,Operations
Software deployment failing via MDM [TKT-5059],IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
Remote employee contract addendum [TKT-5205],An employee transitioning to a permanently remote work arrangement needs a formal contract addendum reflecting the change in work location and terms.,HR
Password manager enterprise deployment [TKT-5422],IT is deploying an enterprise password manager to all employees and needs to schedule training sessions for each department to ensure adoption.,IT Support
Diversity recruitment target progress [TKT-5556],HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Work order system not updating status [TKT-5645],Maintenance work orders completed by technicians are not updating to completed status in the system. Manual tracking is creating reporting inaccuracies.,Operations
Sabbatical leave request [TKT-5086],A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Software deployment failing via MDM [TKT-5659],IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
Annual insurance premium payment confirmation [TKT-5631],Accounts team needs to confirm that the annual business insurance premium has been paid in full before the policy renewal date next week.,Finance
Night shift handover process breakdown,The handover between day and night shifts in the warehouse is inconsistent. Critical information about pending tasks is frequently not communicated.,Operations
Employment tribunal response preparation [TKT-5453],HR legal team is preparing a formal response to an employment tribunal claim filed by a former employee. Documentation and witness statements are needed.,HR
Software deployment failing via MDM [TKT-5419],IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
Approval for conference sponsorship [TKT-5452],"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Large file transfer solution needed [TKT-5385],An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Domain name renewal lapse risk [TKT-5470],IT administrator flagged that two company domain names are due for renewal in 8 days. Previous renewal was missed causing a brief website outage.,IT Support
Approval for crisis communication plan [TKT-5391],Reputational risk team has prepared a crisis communication playbook. Requesting senior management review and approval for it to be adopted as official policy.,Manager
Print server migration planning [TKT-5597],IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Packing material quality failure [TKT-5391],Incoming packing materials from the current supplier have failed quality checks. Operations needs to decide whether to reject the batch or use it with increased monitoring.,Operations
Headcount report for board meeting [TKT-5458],"CFO has requested an up-to-date headcount report by department, role level and location for the upcoming board meeting presentation.",HR
Employee survey design and distribution [TKT-5631],HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Wi-Fi dead zones in office [TKT-5234],Employees in the northwest corner of the 4th floor consistently experience poor or no Wi-Fi connectivity. Additional access points may need to be installed.,IT Support
Headcount freeze impact on deliverables [TKT-5604],The company-wide hiring freeze is preventing the team from filling two critical vacancies. Manager is flagging the risk to project deliverables and timelines.,Manager
Accounting software login not working [TKT-5204],Finance team member is unable to log into the accounting software since their password was reset. IT-generated temporary password is also not working.,Finance
Outdated OS on employee workstation [TKT-5537],Security scan identified a workstation still running Windows 10 without the latest security patches. OS upgrade needs to be scheduled with the employee.,IT Support
Quarter-end closing deadline missed by department [TKT-5566],A department failed to submit their accrual information by the quarter-end closing deadline causing the financial statements to be delayed.,Finance
End-of-year leave planning communication [TKT-5066],HR needs to send guidance to all employees about the process for planning and submitting year-end leave requests before the holiday period begins.,HR
Asset impairment review required [TKT-5141],One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Endpoint detection alert review [TKT-5614],IT security received an alert from the endpoint detection system about suspicious activity on one workstation. Investigation and response are needed.,IT Support
Incorrect bank details for salary transfer [TKT-5322],Employee's salary was credited to a wrong bank account this month due to an outdated bank detail on file. Requesting immediate reversal and correction.,Finance
Production line downtime report [TKT-5089],Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Incorrect exchange rate used in report [TKT-5408],Monthly financial report used an exchange rate from the prior month instead of the current rate. All foreign currency figures need to be restated.,Finance
Subscription not reflecting after payment [TKT-5569],Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Senior hire approval above salary band [TKT-5596],A highly qualified candidate for a critical role has expectations above the approved salary band. Requesting management approval for an exception to the salary range.,Manager
Order delivery window too wide [TKT-5308],Customer was given a delivery window of 9 AM to 9 PM which required them to stay home all day. Requesting more precise delivery time slots.,Customer Support
Maintenance schedule conflict with production [TKT-5494],Planned maintenance on a key machine conflicts with a production run scheduled for the same day. Rescheduling of either activity is needed.,Operations
Print server migration planning [TKT-5437],IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Customer escalation requiring executive involvement [TKT-5449],A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Apprenticeship program enrollment [TKT-5164],Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Large file transfer solution needed [TKT-5145],An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Digital HR system migration [TKT-5494],HR is migrating from the legacy HR system to a new cloud-based platform. Employee data validation and testing are required before the go-live date.,HR
Franchise partner performance review [TKT-5270],Several franchise partners have not met their quarterly performance targets. Management needs to decide on remediation actions or contract terminations.,Manager
Unpaid leave impact on benefits [TKT-5382],"Employee planning to take unpaid leave for 3 months wants to understand the impact on their health insurance, PF contributions and annual leave accrual.",HR
Export documentation preparation [TKT-5392],"An international shipment is being prepared and operations needs to compile all export documentation including commercial invoice, packing list and certificate of origin.",Operations
Supplier quality audit scheduling [TKT-5131],Quarterly quality audit of the top 3 suppliers is due. Operations needs to coordinate schedules and prepare audit checklists before the visits.,Operations
Promotion announcement communication [TKT-5456],Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Employee safety boot replacement [TKT-5474],Safety footwear for 12 warehouse employees has reached end of life. Replacement boots must be issued before employees can continue working in restricted zones.,Operations
Diversity recruitment target progress,HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Geographic expansion resource planning [TKT-5499],"Following management approval to expand to a new city, the operations manager is requesting approval of the resource and budget plan for the expansion.",Manager
Vendor payment on credit hold [TKT-5344],Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Customer escalation requiring executive involvement [TKT-5529],A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Regional office closure decision [TKT-5427],Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Approval for AI tool procurement [TKT-5319],Technology team has evaluated three AI-powered productivity tools and recommends one for company-wide adoption. Requesting management approval for the purchase.,Manager
Custom order specifications not followed [TKT-5358],Customer placed a custom product order with specific dimensions and color but the delivered item does not match the confirmed order specifications.,Customer Support
IT helpdesk portal not loading [TKT-5250],Employees are unable to access the IT helpdesk portal to submit tickets. The page times out. This means all tickets are being raised through email.,IT Support
Unclear expense category in policy [TKT-5251],Employee is unsure which expense category to use for a coworking space cost incurred during a business trip. Policy does not cover this scenario.,Finance
Support agent gave incorrect information [TKT-5265],Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
Long-term disability claim support [TKT-5597],An employee diagnosed with a long-term health condition needs HR support to navigate the company's disability insurance claim process.,HR
Skill gap analysis for department [TKT-5537],HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Headcount freeze impact on deliverables [TKT-5244],The company-wide hiring freeze is preventing the team from filling two critical vacancies. Manager is flagging the risk to project deliverables and timelines.,Manager
Legacy data migration from old server [TKT-5271],An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
Multi-factor authentication app switch [TKT-5656],IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Packing material quality failure,Incoming packing materials from the current supplier have failed quality checks. Operations needs to decide whether to reject the batch or use it with increased monitoring.,Operations
Employee survey design and distribution [TKT-5271],HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Reward points expired without notice [TKT-5206],Customer's accumulated reward points expired without any prior email or in-app notification. Points had been saved for over 6 months.,Customer Support
Loading dock slip and fall hazard [TKT-5344],Water from an overnight rain has pooled on the loading dock floor. An employee slipped this morning. Immediate hazard remediation is required.,Operations
Accounts receivable write-off approval needed [TKT-5530],"Finance is requesting management approval to write off three old receivables totaling INR 1,85,000 that have been outstanding for more than 24 months.",Finance
Complaint about product environmental impact [TKT-5516],Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Inventory barcode scanner not reading [TKT-5561],The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
